"car","distance","consume","speed","temp_inside","temp_outside","specials","gas_type","AC","rain","sun","refill.liters"
"1",28,5,26,21.5,12,"","E10",0,0,0,45
"2",12,4.2,30,21.5,13,"","E10",0,0,0,NA
"3",11.2,5.5,38,21.5,15,"","E10",0,0,0,NA
"4",12.9,3.9,36,21.5,14,"","E10",0,0,0,NA
"5",18.5,4.5,46,21.5,15,"","E10",0,0,0,NA
"6",8.3,6.4,50,21.5,10,"","E10",0,0,0,NA
"7",7.8,4.4,43,21.5,11,"","E10",0,0,0,NA
"8",12.3,5,40,21.5,6,"","E10",0,0,0,NA
"9",4.9,6.4,26,21.5,4,"","E10",0,0,0,NA
"10",11.9,5.3,30,21.5,9,"","E10",0,0,0,NA
"11",12.4,5.6,42,21.5,4,"","E10",0,0,0,NA
"12",11.8,4.6,38,21.5,0,"","E10",0,0,0,NA
"13",12.3,5.9,59,21.5,10,"","E10",0,0,0,NA
"14",24.7,5.1,58,21.5,12,"","E10",0,0,0,NA
"15",12.4,4.7,46,21.5,11,"","E10",0,0,0,NA
"16",17.3,5.1,24,21.5,5,"","E10",0,0,0,NA
"17",33.4,5.6,36,21.5,3,"","E10",0,0,0,NA
"18",11.8,5.1,32,21.5,3,"","E10",0,0,0,NA
"19",25.9,4.9,39,21.5,8,"","E10",0,0,0,NA
"20",11.8,4.7,40,21.5,4,"","E10",0,0,0,NA
"21",25.3,5.5,32,21.5,3,"","E10",0,0,0,NA
"22",14.2,5.9,38,21.5,1,"","E10",0,0,0,NA
"23",17.9,5.7,37,21.5,1,"","E10",0,0,0,NA
"24",11.8,4.7,36,21.5,1,"","E10",0,0,0,NA
"25",12.3,5.9,62,21.5,6,"","E10",0,0,0,NA
"26",12.4,4.1,57,21.5,9,"","E10",0,0,0,NA
"27",18.4,5.7,21,22.5,2,"","E10",0,0,0,NA
"28",18.4,5.8,28,21.5,3,"","E10",0,0,0,NA
"29",18.3,5.5,29,21.5,1,"","E10",0,0,0,NA
"30",18.4,5.7,35,21.5,4,"","E10",0,0,0,NA
"31",12.3,5.3,51,21.5,11,"","E10",0,0,0,NA
"32",11.8,5,29,21.5,10,"","E10",0,0,0,NA
"33",12.3,5.6,58,21.5,8,"","E10",0,0,0,NA
"34",32.6,4.8,40,21.5,7,"","E10",0,0,0,NA
"35",19,4.3,36,21.5,7,"","E10",0,0,0,NA
"36",12.1,5.7,36,21.5,8,"","E10",0,0,0,NA
"37",20,5.2,37,21.5,4,"","E10",0,0,0,NA
"38",11.8,4.8,23,21.5,9,"","E10",0,0,0,NA
"39",12.3,6.5,58,21.5,7,"","E10",0,0,0,NA
"40",12.4,4,55,21.5,7,"AC rain","E10",1,1,0,NA
"41",4.5,5,29,21.5,7,"AC","E10",1,0,0,NA
"42",11.7,4.6,37,21.5,6,"","E10",0,0,0,NA
"43",10.2,4.3,44,21.5,7,"","E10",0,0,0,NA
"44",5.4,3.3,32,21.5,7,"","SP98",0,0,0,37.6
"45",14.2,5.1,32,21.5,7,"","SP98",0,0,0,NA
"46",16,4.9,25,21.5,8,"","SP98",0,0,0,NA
"47",11.8,4.9,25,21.5,11,"","SP98",0,0,0,NA
"48",27.3,4.7,36,21.5,10,"","SP98",0,0,0,NA
"49",11.8,5.1,29,21.5,5,"rain","SP98",0,1,0,NA
"50",10.6,4.9,63,21.5,6,"","SP98",0,0,0,NA
"51",11.6,4.2,61,21.5,7,"","SP98",0,0,0,NA
"52",13.1,6.1,46,21.5,6,"rain","SP98",0,1,0,NA
"53",6.1,6.4,28,21.5,8,"","SP98",0,0,0,NA
"54",11.8,4.9,24,21.5,7,"","SP98",0,0,0,NA
"55",12.3,6.2,61,21.5,8,"","SP98",0,0,0,NA
"56",12.4,4.2,57,21.5,8,"","SP98",0,0,0,NA
"57",12.3,5.7,52,21.5,8,"rain","SP98",0,1,0,NA
"58",9.8,5.8,24,21.5,6,"","SP98",0,0,0,NA
"59",6.8,5.3,26,21.5,6,"","SP98",0,0,0,NA
"60",12.4,5.4,24,21.5,7,"","SP98",0,0,0,NA
"61",12.4,4.7,57,21.5,8,"","SP98",0,0,0,NA
"62",11.8,4.6,41,21.5,6,"","SP98",0,0,0,NA
"63",12.3,5.4,55,21.5,8,"","SP98",0,0,0,NA
"64",14,4.3,40,21.5,8,"","SP98",0,0,0,NA
"65",11.8,4.5,37,21.5,4,"AC","SP98",1,0,0,NA
"66",12.3,5.2,55,21.5,12,"","SP98",0,0,0,NA
"67",2,6.2,20,21.5,10,"","SP98",0,0,0,NA
"68",13.9,5.1,29,21.5,6,"","SP98",0,0,0,NA
"69",9.7,3.9,42,21.5,8,"","SP98",0,0,0,NA
"70",11.6,5,25,21.5,6,"","SP98",0,0,0,NA
"71",14.2,5.4,38,21.5,7,"","SP98",0,0,0,NA
"72",11.8,4.5,39,21.5,6,"","SP98",0,0,0,NA
"73",24.8,5.1,50,21.5,9,"","SP98",0,0,0,NA
"74",12.4,4.7,56,21.5,7,"","SP98",0,0,0,NA
"75",34.8,4,28,20,4,"","SP98",0,0,0,NA
"76",14.2,5.4,36,20,6,"","SP98",0,0,0,NA
"77",5.2,4.5,39,20,10,"","SP98",0,0,0,NA
"78",10.5,3.6,42,20,10,"","SP98",0,0,0,37.7
"79",12.3,5.2,57,20,10,"","SP98",0,0,0,NA
"80",11.8,4.9,25,20,11,"","SP98",0,0,0,NA
"81",12.3,6.2,58,20,11,"rain","SP98",0,1,0,NA
"82",13.2,4.3,51,20,11,"rain","SP98",0,1,0,NA
"83",13,5,45,20,11,"rain","SP98",0,1,0,NA
"84",12.9,5.1,32,20,11,"","SP98",0,0,0,NA
"85",13.9,5.6,22,20,8,"","SP98",0,0,0,NA
"86",11.8,4.3,37,20,6,"","SP98",0,0,0,NA
"87",12.2,5.8,60,20,11,"","SP98",0,0,0,NA
"88",12.5,4,51,20,13,"","SP98",0,0,0,NA
"89",12.4,4.7,43,NA,10,"","SP98",0,0,0,NA
"90",11.8,5.9,21,20,9,"AC rain","SP98",1,1,0,NA
"91",11.8,5.3,52,NA,11,"","SP98",0,0,0,NA
"92",12.5,4.2,57,20,11,"","SP98",0,0,0,NA
"93",15.7,5.3,33,NA,9,"","SP98",0,0,0,NA
"94",12.9,5.7,35,NA,9,"","SP98",0,0,0,NA
"95",6.4,4.4,37,NA,10,"","SP98",0,0,0,NA
"96",5.3,4.1,34,NA,9,"","SP98",0,0,0,NA
"97",26.2,5.8,71,21,8,"AC rain","SP98",1,1,0,NA
"98",18.8,5,62,NA,9,"rain","SP98",0,1,0,NA
"99",4.9,6.9,25,21,12,"rain","SP98",0,1,0,NA
"100",12.4,5.4,18,21,11,"AC rain","SP98",1,1,0,NA
"101",22.9,5.3,45,20.5,7,"","SP98",0,0,0,NA
"102",4.9,6.5,26,21,1,"","SP98",0,0,0,NA
"103",11.8,4.7,36,21,4,"","SP98",0,0,0,NA
"104",16.6,5.1,56,21,7,"","SP98",0,0,0,NA
"105",12.4,5.7,37,21,7,"","SP98",0,0,0,NA
"106",15.9,5.4,25,21,7,"","SP98",0,0,0,NA
"107",22.4,4.9,66,20.5,7,"","SP98",0,0,0,NA
"108",31.1,4.7,42,20.5,7,"","SP98",0,0,0,NA
"109",4.9,6.3,27,20.5,3,"","SP98",0,0,0,NA
"110",11.8,5.1,26,23,4,"rain","SP98",0,1,0,NA
"111",22.9,6,42,23,4,"rain","SP98",0,1,0,NA
"112",12.4,4.6,38,23,1,"snow","SP98",0,1,0,NA
"113",12.9,5.8,40,23,4,"","SP98",0,0,0,NA
"114",11.8,5.1,43,23,0,"","SP98",0,0,0,NA
"115",12.2,5.8,58,23,2,"","SP98",0,0,0,NA
"116",24.8,4.6,55,23,3,"","SP98",0,0,0,NA
"117",14.2,5.6,24,23,8,"","SP98",0,0,0,NA
"118",11.8,4.6,38,23,0,"snow","SP98",0,1,0,NA
"119",12.2,6.3,57,23,0,"snow","SP98",0,1,0,NA
"120",24.7,5.5,56,25,1,"","SP98",0,0,0,NA
"121",6.8,4.3,46,24,2,"","SP98",0,0,0,NA
"122",17.3,5.6,37,21.5,1,"","SP98",0,0,0,NA
"123",11.8,4.3,44,21.5,-3,"","SP98",0,0,0,NA
"124",15.9,5.7,46,21.5,5,"","SP98",0,0,0,NA
"125",5.1,6.4,39,21.5,4,"","SP98",0,0,0,NA
"126",16.1,4.5,33,21.5,6,"","SP98",0,0,0,NA
"127",11.8,4.5,43,21.5,3,"","SP98",0,0,0,NA
"128",4.2,6,26,21.5,5,"","SP98",0,0,0,NA
"129",17.4,5.1,30,21.5,5,"","SP98",0,0,0,NA
"130",23.5,6,25,21.5,5,"rain","SP98",0,1,0,NA
"131",11.8,4.5,38,21.5,5,"rain","SP98",0,1,0,NA
"132",12.3,6.1,61,21.5,10,"rain","SP98",0,1,0,NA
"133",16.1,5.4,24,21.5,7,"rain","E10",0,1,0,38
"134",11.8,4.3,40,21.5,10,"rain","E10",0,1,0,NA
"135",12.3,5.4,58,21.5,13,"","E10",0,0,0,NA
"136",12.4,4.3,49,21.5,17,"","E10",0,0,0,NA
"137",7,5.2,25,21.5,17,"","E10",0,0,0,NA
"138",11.8,4.1,37,21.5,10,"","E10",0,0,0,NA
"139",20.1,4.4,41,21.5,18,"","E10",0,0,0,NA
"140",20.8,4.5,45,21.5,10,"","E10",0,0,0,NA
"141",35.9,4.7,45,21.5,12,"","E10",0,0,0,NA
"142",36.9,4.8,52,21.5,5,"","E10",0,0,0,NA
"143",16.8,4,46,21.5,8,"","E10",0,0,0,NA
"144",9.9,5,28,21.5,9,"","E10",0,0,0,NA
"145",22.9,4.6,61,21.5,7,"rain","E10",0,1,0,NA
"146",17.3,5,61,21.5,6,"AC rain","E10",1,1,0,NA
"147",11.8,4.3,37,21.5,7,"","E10",0,0,0,NA
"148",36.6,5.2,80,21.5,7,"rain","E10",0,1,0,NA
"149",44.9,4.7,62,21.5,8,"","E10",0,0,0,NA
"150",11.8,4.2,34,21.5,9,"rain","E10",0,1,0,NA
"151",21.6,5.3,44,21.5,9,"rain","E10",0,1,0,NA
"152",39.4,5.3,60,21.5,9,"rain","E10",0,1,0,NA
"153",26.6,4.8,38,21.5,7,"","E10",0,0,0,NA
"154",18.9,4.4,53,21.5,2,"","E10",0,0,0,NA
"155",43.5,5,80,21.5,3,"","E10",0,0,0,NA
"156",6.1,6.3,26,21.5,5,"","E10",0,0,0,NA
"157",16.4,4.8,49,21.5,5,"","E10",0,0,0,NA
"158",12.3,6.1,40,21.5,6,"","E10",0,0,0,NA
"159",21.1,4.6,36,21.5,8,"","E10",0,0,0,NA
"160",21.1,4.8,43,21.5,7,"","E10",0,0,0,NA
"161",22.7,4.7,55,21.5,6,"","E10",0,0,0,NA
"162",44.4,4.8,38,21.5,8,"","E10",0,0,0,38.3
"163",35.8,4.4,51,21.5,6,"","E10",0,0,0,NA
"164",11.8,4.9,44,21.5,0,"","E10",0,0,0,NA
"165",26.2,4.9,42,21.5,6,"","E10",0,0,0,NA
"166",40.6,4.4,44,21,3,"","E10",0,0,0,NA
"167",12.4,5.3,38,21,-5,"","E10",0,0,0,NA
"168",14.1,5.3,47,21,-3,"","E10",0,0,0,NA
"169",16.2,5.2,29,21,0,"","E10",0,0,0,NA
"170",12.3,4.9,50,22.5,0,"","E10",0,0,0,NA
"171",12.4,5.2,51,22.5,1,"","E10",0,0,0,NA
"172",31.8,4.7,59,22.5,3,"","E10",0,0,0,NA
"173",12.3,5.1,55,22.5,8,"","E10",0,0,0,NA
"174",38.6,4.6,44,22.5,10,"","E10",0,0,0,NA
"175",12.3,4.8,41,22.5,7,"","E10",0,0,0,NA
"176",43.7,4.7,44,22,9,"half rain half sun","SP98",0,1,0,10
"177",12.1,4.2,43,22,4,"","SP98",0,0,0,39
"178",39,4.1,61,22,16,"","SP98",0,0,0,NA
"179",11.8,4.5,41,21.5,13,"","SP98",0,0,0,NA
"180",38.5,4.8,63,21.5,14,"","SP98",0,0,0,NA
"181",28.2,4.6,54,21.5,14,"","SP98",0,0,0,NA
"182",6.1,5.6,24,21.5,13,"","SP98",0,0,0,NA
"183",19.6,4.9,43,21.5,13,"","SP98",0,0,0,NA
"184",22.2,3.8,42,NA,15,"","SP98",0,0,0,NA
"185",13.6,4.5,44,19,18,"","SP98",0,0,0,NA
"186",12.6,4.1,33,NA,17,"","SP98",0,0,0,NA
"187",8.7,5.3,28,22.5,12,"AC rain","SP98",1,1,0,NA
"188",7.9,4.7,31,22.5,12,"AC","SP98",1,0,0,NA
"189",4.9,6.3,26,20,10,"","SP98",0,0,0,NA
"190",18.1,3.6,36,20,19,"","SP98",0,0,0,NA
"191",25.9,3.7,39,20,21,"","SP98",0,0,0,NA
"192",14.1,5,22,20,12,"","SP98",0,0,0,NA
"193",13.4,5.5,31,20,9,"","SP98",0,0,0,NA
"194",6.4,4.7,33,20,8,"","SP98",0,0,0,NA
"195",12.9,4.5,42,20,13,"","SP98",0,0,0,NA
"196",12.1,4.4,33,22.5,5,"","SP98",0,0,0,NA
"197",15.7,4.1,32,22.5,13,"","SP98",0,0,0,NA
"198",16.2,4.4,26,22.5,11,"","SP98",0,0,0,NA
"199",12.8,4.6,22,22.5,12,"","SP98",0,0,0,NA
"200",19,4.4,58,22.5,17,"sun","SP98",0,0,1,NA
"201",29,4,27,22.5,12,"","SP98",0,0,0,NA
"202",12.1,5,32,22.5,9,"","SP98",0,0,0,NA
"203",12.3,5.2,55,22.5,10,"","SP98",0,0,0,NA
"204",24.8,4,56,22.5,11,"","SP98",0,0,0,NA
"205",12.9,5.1,34,22.5,8,"rain","SP98",0,1,0,NA
"206",11.8,4.5,39,22.5,3,"","SP98",0,0,0,NA
"207",31.4,4.6,62,22.5,11,"","SP98",0,0,0,NA
"208",19,5.1,53,22.5,4,"rain","SP98",0,1,0,NA
"209",13,5.7,38,22.5,3,"AC rain","SP98",1,1,0,NA
"210",11.8,4.8,42,22.5,2,"","SP98",0,0,0,NA
"211",13,6.2,32,22.5,4,"","SP98",0,0,0,NA
"212",11.8,5,43,22.5,1,"","SP98",0,0,0,NA
"213",27.1,5,69,22.5,8,"","SP98",0,0,0,NA
"214",5.2,4.6,38,22.5,8,"","SP98",0,0,0,NA
"215",19,4.5,29,22.5,10,"","E10",0,0,0,39
"216",12.4,4.8,38,22.5,1,"","E10",0,0,0,NA
"217",25.2,5,55,22.5,9,"","E10",0,0,0,NA
"218",14.3,4.8,36,22.5,10,"","E10",0,0,0,NA
"219",11.8,4.6,40,22.5,2,"","E10",0,0,0,NA
"220",16.9,4.5,48,22.5,9,"sun","E10",0,0,1,NA
"221",12.4,4.6,55,22.5,11,"sun","E10",0,0,1,NA
"222",17.4,4.4,36,22.5,12,"sun","E10",0,0,1,NA
"223",9.2,5.7,33,22.5,8,"rain","E10",0,1,0,NA
"224",12.3,5.8,54,22.5,10,"rain","E10",0,1,0,NA
"225",13,5.9,32,22.5,10,"","E10",0,0,0,NA
"226",11.8,6.1,16,22.5,6,"rain","E10",0,1,0,NA
"227",13,5.7,37,22.5,11,"rain","E10",0,1,0,NA
"228",12.3,5,42,22.5,10,"","E10",0,0,0,NA
"229",12.3,5.2,57,22.5,15,"sun","E10",0,0,1,NA
"230",12.5,4.3,57,22.5,16,"sun","E10",0,0,1,NA
"231",31.5,4.1,30,22.5,16,"sun","E10",0,0,1,NA
"232",11.8,4.4,42,22.5,8,"","E10",0,0,0,NA
"233",24.9,4.5,53,22.5,14,"","E10",0,0,0,NA
"234",17,3.9,46,22.5,14,"sun","E10",0,0,1,NA
"235",11.8,4.4,33,22.5,8,"","E10",0,0,0,NA
"236",7.4,5,31,22.5,12,"","E10",0,0,0,NA
"237",12.4,4.7,55,22.5,14,"sun","E10",0,0,1,NA
"238",2,6,22,22.5,14,"","E10",0,0,0,NA
"239",14,5,41,22.5,8,"","E10",0,0,0,NA
"240",25.7,5,45,22.5,7,"","E10",0,0,0,NA
"241",24.5,3.9,50,NA,15,"sun","E10",0,0,1,NA
"242",11.8,4.5,28,22.5,12,"","E10",0,0,0,NA
"243",4.1,5.4,24,22.5,13,"","E10",0,0,0,NA
"244",4.2,5.6,29,22,17,"","E10",0,0,0,NA
"245",4.2,3.9,29,22,18,"sun","E10",0,0,1,NA
"246",16,4,40,22,10,"","E10",0,0,0,NA
"247",22.9,4,29,NA,21,"","E10",0,0,0,NA
"248",16,3.8,42,NA,8,"","E10",0,0,0,NA
"249",15.4,4.5,50,22,14,"","E10",0,0,0,NA
"250",16,3.8,41,22,12,"","E10",0,0,0,NA
"251",4.2,5.6,32,22,18,"","E10",0,0,0,NA
"252",25.7,4.9,50,22,10,"rain","SP98",0,1,0,41
"253",16,4.1,40,22,10,"","SP98",0,0,0,NA
"254",16.1,4.5,32,22,19,"","SP98",0,0,0,NA
"255",16,4.4,40,22,7,"AC rain","SP98",1,1,0,NA
"256",16,4.5,41,22,11,"","SP98",0,0,0,NA
"257",24.7,4.5,26,22,10,"","SP98",0,0,0,NA
"258",16,3.9,42,22,8,"","SP98",0,0,0,NA
"259",15.4,4.6,43,22,16,"","SP98",0,0,0,NA
"260",16,3.8,40,22,8,"","SP98",0,0,0,NA
"261",32.1,4.5,50,22,16,"","SP98",0,0,0,NA
"262",25.9,4.4,40,22,14,"","SP98",0,0,0,NA
"263",48.6,4.3,44,22,12,"","SP98",0,0,0,NA
"264",37.2,4,45,22,20,"sun","SP98",0,0,1,NA
"265",28.8,3.9,35,22,15,"sun","SP98",0,0,1,NA
"266",6.7,5,30,22,17,"","SP98",0,0,0,NA
"267",7.4,4.1,25,22,18,"sun","SP98",0,0,1,NA
"268",17.3,4.1,22,22,25,"sun","SP98",0,0,1,NA
"269",6.6,5.6,43,22,16,"","SP98",0,0,0,NA
"270",14.3,4.1,26,22,20,"","SP98",0,0,0,NA
"271",13.3,4.6,33,22,18,"","SP98",0,0,0,NA
"272",8.3,4.9,26,22,23,"","SP98",0,0,0,NA
"273",12.7,4.5,39,22,27,"sun","SP98",0,0,1,NA
"274",16.5,4.1,47,22,14,"","SP98",0,0,0,NA
"275",20.6,4.1,38,22,21,"","SP98",0,0,0,NA
"276",16.3,4.5,58,22,16,"","SP98",0,0,0,NA
"277",18.7,4.2,65,25,18,"sun ac","SP98",1,0,1,NA
"278",36.5,3.9,54,23,18,"sun","SP98",0,0,1,NA
"279",19,5,35,22,15,"sun ac","SP98",1,0,1,NA
"280",16.6,4.4,46,22,5,"ac","SP98",1,0,0,NA
"281",29.9,4.5,32,22,18,"ac","SP98",1,0,0,NA
"282",16,3.8,42,22,11,"","SP98",0,0,0,NA
"283",21.1,5.1,33,22,10,"rain","SP98",0,1,0,NA
"284",16,3.9,40,22,10,"","SP98",0,0,0,NA
"285",11.9,5.3,34,22,13,"","SP98",0,0,0,NA
"286",10.1,4.2,35,22,16,"","SP98",0,0,0,NA
"287",31.9,4.3,33,22,16,"","SP98",0,0,0,NA
"288",18.7,4,60,22,13,"","SP98",0,0,0,NA
"289",10.8,4.7,48,22,17,"sun","SP98",0,0,1,NA
"290",19.8,4,56,22,17,"sun","SP98",0,0,1,NA
"291",11.3,4.3,38,22,17,"","SP98",0,0,0,37
"292",11.5,5.3,53,22,15,"","SP98",0,0,0,NA
"293",21.4,5.2,51,22,13,"","SP98",0,0,0,NA
"294",32,4.9,53,22,15,"","SP98",0,0,0,NA
"295",41.9,4.7,53,22,14,"","SP98",0,0,0,NA
"296",25.5,3.6,27,22,27,"sun","SP98",0,0,1,NA
"297",16.6,4.2,52,22,15,"rain","SP98",0,1,0,NA
"298",25.9,4.1,43,22,24,"","SP98",0,0,0,NA
"299",16.5,4,48,22,15,"","SP98",0,0,0,NA
"300",22.1,3.9,29,22,26,"","SP98",0,0,0,NA
"301",16.6,3.7,49,22,17,"","E10",0,0,0,37.7
"302",15.4,4.5,43,22,24,"","E10",0,0,0,NA
"303",16.5,3.9,43,22,17,"","E10",0,0,0,NA
"304",15.4,5.1,21,22,24,"","E10",0,0,0,NA
"305",18.4,4.2,59,22,24,"","E10",0,0,0,NA
"306",39.5,4.2,58,22,25,"","E10",0,0,0,NA
"307",21.5,4.8,47,25,27,"AC Sun","E10",1,0,1,NA
"308",4.8,4.7,26,25,18,"","E10",0,0,0,NA
"309",16.6,3.8,43,21.5,16,"","E10",0,0,0,NA
"310",15.4,4.2,50,21.5,21,"","E10",0,0,0,NA
"311",16,3.7,45,22,17,"","E10",0,0,0,NA
"312",16,4.2,41,22,15,"","E10",0,0,0,NA
"313",15.4,4.1,45,22,24,"","E10",0,0,0,NA
"314",16,4,43,22,16,"","E10",0,0,0,NA
"315",21,3.8,37,22,21,"","E10",0,0,0,NA
"316",15.4,3.8,47,22,24,"","E10",0,0,0,NA
"317",16,3.8,42,22,17,"","E10",0,0,0,NA
"318",16.1,5.1,30,25,16,"ac rain","E10",1,1,0,NA
"319",16,4,42,22,15,"","E10",0,0,0,NA
"320",15.4,4.8,40,22,18,"","E10",0,0,0,NA
"321",17.2,3.9,35,22,16,"","E10",0,0,0,NA
"322",16.6,4.6,50,22,25,"","E10",0,0,0,NA
"323",18.3,4.3,46,22,16,"","SP98",0,0,0,37.2
"324",16.1,4.8,36,22,18,"rain","SP98",0,1,0,NA
"325",16,4.1,46,22,17,"","SP98",0,0,0,NA
"326",16.3,4,35,22,23,"","SP98",0,0,0,NA
"327",16,3.7,44,22,16,"","SP98",0,0,0,NA
"328",18.3,4.3,46,22,23,"","SP98",0,0,0,NA
"329",4.5,5.2,23,22,23,"sun","SP98",0,0,1,NA
"330",17,4.2,48,22,16,"","SP98",0,0,0,NA
"331",6.1,5,35,24.5,18,"","SP98",0,0,0,NA
"332",6.1,5,33,22,24,"sun","SP98",0,0,1,NA
"333",17.3,4.2,36,22,22,"","SP98",0,0,0,NA
"334",6,4.8,27,22,17,"","SP98",0,0,0,NA
"335",16,4.1,45,22,15,"","SP98",0,0,0,NA
"336",15.4,4.9,55,22,18,"","SP98",0,0,0,NA
"337",15.4,4.3,39,22,23,"","SP98",0,0,0,NA
"338",16,3.9,35,22,18,"","SP98",0,0,0,NA
"339",15.4,4.5,52,22,26,"","SP98",0,0,0,NA
"340",16.6,4.1,48,25.5,30,"sun ac","SP98",1,0,1,NA
"341",15.4,5,48,25.5,31,"ac","SP98",1,0,0,NA
"342",16,4,43,22,21,"ac","SP98",1,0,0,NA
"343",15.4,4.5,42,22,30,"","SP98",0,0,0,NA
"344",16,3.6,43,22,19,"","SP98",0,0,0,NA
"345",20.9,4.1,33,22,21,"","SP98",0,0,0,NA
"346",32.1,3.9,47,22,26,"","SP98",0,0,0,NA
"347",15.3,6.6,16,24,27,"ac","SP98",1,0,0,NA
"348",28.5,4,44,25,23,"ac","SP98",1,0,0,NA
"349",11.9,3.7,33,25,19,"","SP98",0,0,0,NA
"350",14.5,4.3,36,25,22,"","SP98",0,0,0,NA
"351",16.6,4.1,49,22,26,"sun","SP98",0,0,1,NA
"352",16.2,4.4,39,24.5,17,"ac","SP98",1,0,0,NA
"353",16.7,3.8,44,24.5,23,"sun","SP98",0,0,1,NA
"354",8.3,5,52,24.5,27,"","SP98",0,0,0,NA
"355",5.5,3.7,33,24.5,28,"sun","SP98",0,0,1,NA
"356",13.6,3.7,33,24.5,28,"sun","SP98",0,0,1,NA
"357",16,3.7,39,24.5,18,"","SP98",0,0,0,NA
"358",16.1,4.3,38,25,31,"AC","SP98",1,0,0,NA
"359",16,3.8,45,25,19,"","SP98",0,0,0,NA
"360",15.4,4.6,42,25,31,"AC","SP98",1,0,0,NA
"361",14.7,5,25,25,30,"AC","SP98",1,0,0,NA
